市区町村,種別,日付,候補者数,年齢中央値,年齢最小値,男性,女性,新人割合,65歳以上割合,自民+公明割合,共産+社民割合,無所属割合
八幡浜市,首長,2013/4/21,1,48.0,48.0,1,0,0.0,0.0,0.0,0.0,1.0
八幡浜市,首長,2017/4/16,1,52.0,52.0,1,0,0.0,0.0,0.0,0.0,1.0
八幡浜市,首長,2021/4/18,1,56.0,56.0,1,0,0.0,0.0,0.0,0.0,1.0
八戸市,議員,2015/4/26,32,62.0,29.0,27,5,0.15625,0.3125,0.4375,0.09375,0.21875
八戸市,議員,2019/4/21,32,58.0,26.0,26,6,0.21875,0.375,0.4375,0.125,0.21875
八戸市,首長,2013/10/27,1,63.0,63.0,1,0,0.0,0.0,0.0,0.0,1.0
八戸市,首長,2017/10/22,1,67.0,67.0,1,0,0.0,1.0,0.0,0.0,1.0
八戸市,首長,2021/10/31,1,59.0,59.0,1,0,1.0,0.0,0.0,0.0,1.0
八潮市,議員,2013/9/8,21,59.0,31.0,15,6,0.2857142857142857,0.23809523809523808,0.38095238095238093,0.19047619047619047,0.42857142857142855
八潮市,議員,2017/9/3,21,59.0,35.0,15,6,0.19047619047619047,0.3333333333333333,0.47619047619047616,0.14285714285714285,0.2857142857142857
八潮市,議員,2021/9/5,21,58.0,31.0,13,8,0.3333333333333333,0.19047619047619047,0.2857142857142857,0.14285714285714285,0.47619047619047616
八潮市,首長,2013/9/8,1,56.0,56.0,1,0,1.0,0.0,0.0,0.0,1.0
八潮市,首長,2017/9/3,1,60.0,60.0,1,0,0.0,0.0,0.0,0.0,1.0
八潮市,首長,2021/9/5,1,64.0,64.0,1,0,0.0,0.0,0.0,0.0,1.0
八王子市,議員,2015/4/26,40,48.5,30.0,30,10,0.225,0.05,0.55,0.15,0.15
八王子市,議員,2019/4/21,40,50.5,25.0,28,12,0.3,0.05,0.65,0.1,0.1
八王子市,首長,2012/1/22,1,54.0,54.0,1,0,1.0,0.0,0.0,0.0,1.0
八王子市,首長,2016/1/24,1,58.0,58.0,1,0,0.0,0.0,0.0,0.0,1.0
八王子市,首長,2020/1/26,1,62.0,62.0,1,0,0.0,0.0,1.0,0.0,0.0
八百津町,議員,2015/8/30,10,60.0,39.0,10,0,0.1,0.3,0.0,0.1,0.9
八百津町,議員,2019/8/25,10,61.0,50.0,9,1,0.4,0.4,0.0,0.1,0.9
八百津町,首長,2012/1/15,1,65.0,65.0,1,0,0.0,1.0,0.0,0.0,1.0
八百津町,首長,2016/1/17,1,65.0,65.0,1,0,1.0,1.0,0.0,0.0,1.0
八百津町,首長,2020/1/19,1,69.0,69.0,1,0,0.0,1.0,0.0,0.0,1.0
八街市,議員,2015/8/30,20,62.0,34.0,15,5,0.15,0.45,0.2,0.1,0.7
八街市,議員,2019/8/25,20,59.0,38.0,16,4,0.2,0.35,0.2,0.1,0.65
八街市,首長,2014/11/16,1,66.0,66.0,1,0,0.0,1.0,1.0,0.0,0.0
八街市,首長,2018/11/18,1,70.0,70.0,1,0,0.0,1.0,0.0,0.0,1.0
八郎潟町,議員,2013/1/27,12,63.5,49.0,11,1,0.3333333333333333,0.4166666666666667,0.0,0.08333333333333333,0.9166666666666666
八郎潟町,議員,2017/2/5,12,67.5,37.0,11,1,0.16666666666666666,0.75,0.0,0.08333333333333333,0.9166666666666666
八郎潟町,議員,2021/2/7,12,70.5,28.0,11,1,0.16666666666666666,0.75,0.0,0.08333333333333333,0.9166666666666666
八郎潟町,首長,2012/9/2,1,58.0,58.0,1,0,0.0,0.0,0.0,0.0,1.0
八郎潟町,首長,2016/8/28,1,62.0,62.0,1,0,0.0,0.0,0.0,0.0,1.0
八郎潟町,首長,2020/8/30,1,66.0,66.0,1,0,0.0,1.0,0.0,0.0,1.0
八重瀬町,議員,2014/9/7,16,61.0,40.0,15,1,0.1875,0.25,0.0,0.125,0.875
八重瀬町,議員,2018/9/9,16,58.5,42.0,14,2,0.3125,0.125,0.0,0.125,0.875
八重瀬町,首長,2014/1/26,1,75.0,75.0,1,0,0.0,1.0,0.0,0.0,1.0
八重瀬町,首長,2018/1/28,1,62.0,62.0,1,0,1.0,0.0,0.0,0.0,1.0
八雲町,議員,2013/10/20,16,53.0,37.0,14,2,0.1875,0.1875,0.0625,0.125,0.8125
八雲町,議員,2017/10/15,16,57.0,47.0,14,2,0.0625,0.3125,0.0625,0.125,0.8125
八雲町,議員,2021/10/17,14,60.5,51.0,11,3,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.7857142857142857
八雲町,首長,2013/10/20,1,56.0,56.0,1,0,1.0,0.0,0.0,0.0,1.0
八雲町,首長,2017/10/15,1,60.0,60.0,1,0,0.0,0.0,0.0,0.0,1.0
八雲町,首長,2021/10/17,1,64.0,64.0,1,0,0.0,0.0,0.0,0.0,1.0
八頭町,議員,2013/4/14,16,64.0,50.0,15,1,0.125,0.4375,0.0,0.0625,0.9375
