"地域コード","年度","教育費.市町村財政.","歳出決算総額.市町村財政.","経常収支比率.市町村財政.","実質公債費比率.市町村財政.","小学校児童数","中学校生徒数","総人口","総人口.女.","X65歳以上人口","地域女性割合","地域65歳以上割合","児童生徒数","教育費シェア","児童生徒割合","ln教育費.市町村財政.","ln歳出決算総額.市町村財政.","ln総人口","ln総人口.女.","lnX65歳以上人口","ln児童生徒数","logit教育費シェア","政令指定都市","特別区","議員候補者数","議員年齢中央値","議員年齢最小値","議員年齢平均値","議員X65歳以上割合","議員新人割合","議員女性割合","議員自民公明割合","議員共産社民割合","議員無所属割合","議員選挙年","議員経過年度","議員間隔異常","首長候補者数","首長年齢中央値","首長年齢最小値","首長年齢平均値","首長X65歳以上割合","首長新人割合","首長女性割合","首長自民公明割合","首長共産社民割合","首長無所属割合","首長選挙年","首長経過年度","首長間隔異常","議会高齢化ギャップ","議会女性ギャップ"
"R01207",2018,6654887,80488646,90.1,8.9,8100,3982,167652.4,87481,47254.4,0.521799866867399,0.281859370936533,12082,0.0826810653517516,0.0720657741851593,15.7108620299527,18.203626688963,12.0296480673302,11.3791769059096,10.7633010502795,9.39955478502731,-2.40646459404906,0,0,35,57,28,55.9655172413793,0.241379310344828,0.275862068965517,0.172413793103448,0.275862068965517,0.103448275862069,0.517241379310345,0,3,1,2,62,62,62,0,0,0,0,0,1,1,0,0,-0.0404800605917049,-0.349386073763951
"R01207",2019,6889772,85168941,91.6,8.9,8077,3928,167094.2,87197,48127.2,0.521843367393961,0.288024359911954,12005,0.0808953583208226,0.0718457014067514,15.7455485510054,18.2601473830843,12.0263130042265,11.3759252056355,10.7816027848309,9.39316180381179,-2.43024353369198,0,0,42,59,30,57.3793103448276,0.275862068965517,0.206896551724138,0.172413793103448,0.206896551724138,0.103448275862069,0.517241379310345,1,0,0,2,62,62,62,0,0,0,0,0,1,0,1,0,-0.0121622909464368,-0.349429574290513
"R01207",2020,8559585,102693958,91,8.7,7969,3910,166536,86913,49000,0.521887159533074,0.294230676850651,11879,0.0833504245692819,0.0713299226593649,15.9625622656343,18.4472638416199,12.0229667812475,11.3726628973031,10.7995755770928,9.38261159291664,-2.39767155383757,0,0,42,59,30,57.3793103448276,0.275862068965517,0.206896551724138,0.172413793103448,0.206896551724138,0.103448275862069,0.517241379310345,0,1,0,2,62,62,62,0,0,0,0,0,1,0,2,0,-0.0183686078851339,-0.349473366429626
"R01207",2021,9981443,93255674,89.8,8.4,7812,3978,165977.8,86629,49872.8,0.521931246226905,0.300478738722889,11790,0.107033090554898,0.071033596059232,16.116238227014,18.3508554618221,12.0196093234556,11.3693899114723,10.8172310429436,9.37509180757667,-2.12141148052326,0,0,42,59,30,57.3793103448276,0.275862068965517,0.206896551724138,0.172413793103448,0.206896551724138,0.103448275862069,0.517241379310345,0,2,0,2,62,62,62,0,0,0,0,0,1,0,3,0,-0.0246166697573725,-0.349517453123457
"R01208",2016,7062483,70384733,91.5,10,5483,3045,120076.8,62715,36917.8,0.522290733930285,0.307451564332161,8528,0.100341120850739,0.0710212130902889,15.7703072473543,18.0694869368151,11.6958868170515,11.0463559324588,10.5164490985423,9.05122740031911,-2.19344007878807,0,0,33,60,32,59.2857142857143,0.285714285714286,0.178571428571429,0.107142857142857,0.142857142857143,0.0714285714285714,0.714285714285714,0,3,0,2,62,62,62,0,1,0,0,0,1,0,1,0,-0.0217372786178748,-0.415147876787428
"R01208",2017,7808853,73796053,91.1,8.8,5417,2957,118927.6,62224,37398.6,0.523209078464545,0.314465271307922,8374,0.105816675588327,0.070412587153865,15.8707686480343,18.1168158057556,11.6862701835799,11.0384960563955,10.5293885495469,9.03300635669327,-2.1342026937538,0,0,32,62.5,42,62.3214285714286,0.25,0.214285714285714,0.178571428571429,0.142857142857143,0.107142857142857,0.714285714285714,1,0,0,2,62,62,62,0,1,0,0,0,1,0,2,0,-0.0644652713079218,-0.344637649893116
"R01208",2018,5816225,71720528,91.4,7.7,5371,2764,117778.4,61733,37879.4,0.524145344137805,0.321615848067218,8135,0.0810956801656563,0.0690703898168085,15.5761619838296,18.0882875686373,11.6765601717569,11.0305739129435,10.5421627076814,9.0040539377284,-2.42755230941435,0,0,32,62.5,42,62.3214285714286,0.25,0.214285714285714,0.178571428571429,0.142857142857143,0.107142857142857,0.714285714285714,0,1,0,2,62,62,62,0,1,0,0,0,1,0,3,0,-0.0716158480672178,-0.345573915566376
"R01208",2019,6320570,72071608,95,8,5324,2705,116629.2,61242,38360.2,0.525100060705209,0.328907340528787,8029,0.0876984734404705,0.0688421081513035,15.6593199519296,18.0931707382932,11.6667549503629,11.0225885076316,10.5547757427481,8.99093980694081,-2.34206606404018,0,0,32,62.5,42,62.3214285714286,0.25,0.214285714285714,0.178571428571429,0.142857142857143,0.107142857142857,0.714285714285714,0,2,0,2,66,66,66,1,0,0,0,0,1,1,0,0,-0.078907340528787,-0.34652863213378
"R01208",2020,7461172,91729456,95.9,8.9,5212,2651,115480,60751,38841,0.526073779009352,0.336343955663318,7863,0.0813388885681389,0.0680897125043298,15.825223064398,18.3343541070202,11.6568526337769,11.0145388219727,10.5672316687268,8.970050661827,-2.4242930600247,0,0,32,62.5,42,62.3214285714286,0.25,0.214285714285714,0.178571428571429,0.142857142857143,0.107142857142857,0.714285714285714,0,3,0,2,66,66,66,1,0,0,0,0,1,0,1,0,-0.0863439556633183,-0.347502350437923
"R01208",2021,5986053,75436352,92.5,10.3,5043,2691,114330.8,60260,39321.8,0.52706707204008,0.343930069587548,7734,0.0793523658195985,0.0676458137264849,15.6049428213482,18.1387998388106,11.6468512798001,11.0064238126843,10.5795343514432,8.95351076300717,-2.4511791110627,0,0,31,64.5,46,61.8461538461538,0.5,0.230769230769231,0.153846153846154,0.230769230769231,0.0769230769230769,0.576923076923077,1,0,0,2,66,66,66,1,0,0,0,0,1,0,2,0,0.156069930412452,-0.373220918193926
